SX,SY,SZ,EX,EY,EZ,Dia,Name
242675.6,254400.2,76440.0,242449.7,254307.0,76398.2,90.0,Pipe574
238986.1,253617.9,76440.0,239487.4,254307.0,76300.0,90.0,Pipe575
231119.2,253592.0,76440.0,230722.3,254312.0,76338.8,90.0,Pipe576
227556.9,253589.8,76440.0,228217.6,254312.0,76224.5,90.0,Pipe577
228812.0,254312.0,76056.7,228811.8,252995.7,74875.3,90.0,Pipe578
219823.5,261157.0,76356.0,218802.1,261172.0,76322.1,90.0,Pipe579
218802.1,261172.0,76322.1,218087.0,260444.7,76293.8,90.0,Pipe580
218087.0,260444.7,76293.8,218026.7,254312.0,76065.0,90.0,Pipe581
218026.7,254312.0,76065.0,218041.8,252995.7,74827.3,90.0,Pipe582
219827.6,254394.7,76440.0,219599.7,254311.9,76395.7,90.0,Pipe583
216153.9,253601.5,76440.0,216665.8,254311.9,76320.6,90.0,Pipe584
208420.5,261998.2,76346.0,207315.9,261898.8,76314.0,90.0,Pipe585
207315.9,261898.8,76314.0,206796.3,261493.3,76287.1,90.0,Pipe586
206796.3,261493.3,76287.1,206826.5,254522.7,76065.0,90.0,Pipe587
206826.5,254522.7,76065.0,206825.8,252995.6,74776.7,90.0,Pipe588
208431.2,254397.1,76440.0,208174.8,254527.5,76382.7,90.0,Pipe589
204735.3,253594.0,76440.0,205402.3,254537.0,76292.7,90.0,Pipe590
198869.4,261978.0,76346.0,199909.8,261888.4,76311.0,90.0,Pipe591
199909.8,261888.4,76311.0,200496.5,261375.9,76290.9,90.0,Pipe592
200496.5,261375.9,76290.9,200458.7,254311.9,76056.7,90.0,Pipe593
200458.7,254311.9,76056.7,200478.7,252995.6,74750.5,90.0,Pipe594
198868.8,254385.9,76440.0,199129.2,254311.8,76375.6,90.0,Pipe595
188142.6,253600.5,76440.0,187729.0,254315.1,76320.1,90.0,Pipe596
186761.8,254315.1,76056.7,186790.2,252995.5,74689.6,90.0,Pipe597
184601.2,253609.5,76440.0,185432.8,254315.0,76290.4,90.0,Pipe598
176722.5,253566.6,76440.0,176248.5,254191.0,76336.8,90.0,Pipe599
175469.3,254148.7,76090.0,175466.8,252995.5,74672.3,90.0,Pipe600
173559.6,253571.9,76440.0,174018.7,254094.5,76338.6,90.0,Pipe601
164210.6,262006.4,76346.0,162902.2,261881.9,76312.2,90.0,Pipe602
162902.2,261881.9,76312.2,161546.0,260525.7,76265.0,90.0,Pipe603
161546.0,260525.7,76265.0,161739.5,254306.6,76065.0,90.0,Pipe604
161739.5,254306.6,76065.0,161771.0,252995.4,74578.2,90.0,Pipe605
164214.1,254390.6,76440.0,163920.5,254306.6,76398.5,90.0,Pipe606
159511.1,253592.2,76440.0,159986.4,254306.6,76334.8,90.0,Pipe607
153659.8,261989.9,76346.0,154429.3,261882.7,76319.8,90.0,Pipe608
154429.3,261882.7,76319.8,155077.6,261026.1,76281.8,90.0,Pipe609
155077.6,261026.1,76281.8,155148.1,254306.1,76090.0,90.0,Pipe610
155148.1,254306.1,76090.0,155161.8,252995.4,74549.1,90.0,Pipe611
153659.9,254395.4,76440.0,153932.3,254306.6,76377.5,90.0,Pipe612
142392.3,253617.7,76440.0,143082.1,254311.6,76233.1,90.0,Pipe613
144201.1,254316.9,76056.7,144249.8,252998.1,74498.3,90.0,Pipe614
145952.6,253616.0,76440.0,145357.0,254311.6,76311.8,90.0,Pipe615
134664.5,261994.2,76345.0,133614.3,261899.5,76318.2,90.0,Pipe616
133614.3,261899.5,76318.2,132956.0,261239.0,76282.0,90.0,Pipe617
132956.0,261239.0,76282.0,133187.8,254306.5,76065.0,90.0,Pipe618
133187.8,254306.5,76065.0,133227.1,252995.3,74451.1,90.0,Pipe619
134654.4,254404.6,76440.0,134331.9,254306.5,76363.0,90.0,Pipe620
130959.0,253598.7,76440.0,131672.4,254306.5,76293.6,90.0,Pipe621
118265.8,262001.2,76345.0,119477.1,261902.0,76314.2,90.0,Pipe622
119477.1,261902.0,76314.2,120214.2,261161.3,76284.2,90.0,Pipe623
120214.2,261161.3,76284.2,120217.6,254306.5,76065.0,90.0,Pipe624
120217.6,254306.5,76065.0,120214.5,252993.4,74378.5,90.0,Pipe625
121970.5,253599.2,76440.0,121467.6,254306.5,76297.3,90.0,Pipe626
118274.0,254394.9,76440.0,118525.7,254306.4,76388.9,90.0,Pipe627
110526.3,253593.3,76440.0,110028.1,254306.4,76335.1,90.0,Pipe628
108230.9,254306.4,76056.7,108198.8,252995.1,74338.5,90.0,Pipe629
106979.0,253593.2,76440.0,107340.5,254306.4,76298.7,90.0,Pipe630
101138.1,259553.8,76375.0,102081.5,259576.4,76339.0,90.0,Pipe631
102081.5,259576.4,76339.0,103076.9,258581.1,76277.2,90.0,Pipe632
103076.9,258581.1,76277.2,103076.9,254306.4,76056.7,90.0,Pipe633
103076.9,254306.4,76056.7,103077.3,252995.2,74321.4,90.0,Pipe634
101132.6,254390.5,76440.0,101424.3,254306.3,76387.5,90.0,Pipe635
89874.2,253585.8,76440.0,90551.4,254306.3,76309.9,90.0,Pipe636
92171.1,254306.2,76056.7,92154.7,253612.0,75983.0,90.0,Pipe637
92154.7,253612.0,75983.0,91490.9,252995.1,74265.2,90.0,Pipe638
93412.3,253587.0,76440.0,92807.9,254306.3,76223.4,90.0,Pipe639
83994.9,259562.2,76375.0,84959.9,259567.0,76339.0,90.0,Pipe640
84959.9,259567.0,76339.0,85955.3,258571.6,76277.1,90.0,Pipe641
85955.3,258571.6,76277.1,85937.0,254316.3,76056.7,90.0,Pipe642
85937.0,254316.3,76056.7,85936.8,252995.0,74881.9,90.0,Pipe643
83994.4,254375.7,76440.0,84255.6,254266.6,76387.6,90.0,Pipe644
72750.0,253595.9,76440.0,73370.0,254277.9,76311.1,90.0,Pipe645
74547.4,254306.2,76056.7,74536.7,252995.0,74932.6,90.0,Pipe646
76279.9,253586.8,76440.0,75823.8,254306.2,76310.3,90.0,Pipe647
65018.7,259567.3,76375.0,64142.3,259551.8,76341.8,90.0,Pipe648
64142.3,259551.8,76341.8,63147.1,258556.3,76279.2,90.0,Pipe649
63147.1,258556.3,76279.2,63147.4,254306.1,76065.0,90.0,Pipe650
63147.4,254306.1,76065.0,63136.8,252995.0,74983.1,90.0,Pipe651
61315.6,253598.7,76440.0,61906.8,254266.0,76298.8,90.0,Pipe652
65015.8,254387.7,76440.0,64835.5,254306.2,76400.4,90.0,Pipe653
53514.0,259271.0,76372.0,52822.8,259272.4,76347.0,90.0,Pipe654
52822.8,259272.4,76347.0,52413.9,258480.4,76285.9,90.0,Pipe655
52413.9,258480.4,76285.9,52327.9,254328.1,76056.7,90.0,Pipe656
52327.9,254328.1,76056.7,52300.4,252999.6,75269.2,90.0,Pipe657
50774.2,253581.4,76440.0,51290.5,254283.6,76252.7,90.0,Pipe658
90079.4,362399.1,75684.8,95557.4,358041.1,74998.8,0.0,Pipe659
95557.4,358041.1,74998.8,97720.9,358710.9,74132.7,131.0,Pipe660
259376.4,154712.7,74274.0,261293.2,153041.0,74345.0,90.0,Pipe661
261293.2,153041.0,74345.0,260611.3,147185.6,74460.1,40.8,Pipe662
260611.3,147185.6,74460.1,258516.5,146648.1,74453.0,40.8,Pipe663
256914.0,166489.1,76440.0,257445.4,165809.0,76307.3,90.0,Pipe664
258741.1,165808.9,76056.7,258741.1,167125.3,75269.2,90.0,Pipe665
260631.2,165731.5,76440.0,260391.8,165809.0,76395.7,90.0,Pipe666
249055.8,166523.6,76440.0,248585.6,165813.9,76310.0,90.0,Pipe667
247282.3,165813.8,76056.7,247282.2,167125.2,74982.0,90.0,Pipe668
245354.4,165729.5,76440.0,245596.0,165809.3,76396.1,90.0,Pipe669
221048.3,167125.1,74309.9,207319.0,167125.0,74804.6,131.0,NW-OP02 (1)
221137.0,152470.2,74399.6,221048.3,167125.1,74309.9,131.0,Pipe670
209572.6,166520.2,76440.0,209042.3,165813.7,76320.8,90.0,Pipe671
207322.2,165813.7,76040.0,207319.0,167125.0,74804.6,90.0,Pipe672
204013.8,157957.6,76343.0,202602.8,158025.3,76307.9,90.0,Pipe673
202602.8,158025.3,76307.9,202107.6,158520.5,76289.0,90.0,Pipe674
202107.6,158520.5,76289.0,202102.5,165808.6,76065.0,90.0,Pipe675
202102.5,165808.6,76065.0,202074.2,167125.0,74781.2,90.0,Pipe676
204005.7,165731.5,76440.0,203802.3,165813.4,76402.2,90.0,Pipe677
200347.8,166536.4,76440.0,200783.8,165812.4,76308.0,90.0,Pipe678
192586.9,165735.3,76440.0,192353.2,165813.3,76398.8,90.0,Pipe679
190602.5,165808.6,76056.7,190602.2,167124.9,74730.1,90.0,Pipe680
188854.5,166520.9,76440.0,189371.9,165812.1,76304.9,90.0,Pipe681
180958.4,166519.4,76440.0,180518.3,165813.6,76331.0,90.0,Pipe682
179102.2,165813.6,76056.7,179102.2,167124.9,74678.6,90.0,Pipe683
177247.1,165727.0,76440.0,177468.3,165813.6,76398.3,90.0,Pipe684
174515.6,154867.1,74274.0,174742.3,151410.3,74330.5,90.0,Pipe685
174742.3,151410.3,74330.5,175094.4,146770.2,74444.0,40.8,Pipe686
141199.4,166520.9,76440.0,140508.4,165813.4,76277.1,90.0,Pipe687
139335.1,165813.4,76040.0,139335.1,167124.7,74502.0,90.0,Pipe688
135666.5,157991.9,76343.0,134371.0,158025.0,76310.8,90.0,Pipe689
134371.0,158025.0,76310.8,133723.8,158672.1,76286.0,90.0,Pipe690
133723.8,158672.1,76286.0,133718.7,165808.3,76065.0,90.0,Pipe691
133718.7,165808.3,76065.0,133718.5,167124.7,74477.2,90.0,Pipe692
135645.5,165743.0,76440.0,135454.7,165813.2,76406.9,90.0,Pipe693
131951.5,166520.4,76440.0,132458.0,165811.9,76303.7,90.0,Pipe694
118676.5,166517.3,76440.0,118279.9,165811.6,76307.2,90.0,Pipe695
116819.2,165807.7,76040.0,116819.8,167124.6,74402.4,90.0,Pipe696
113115.9,157961.9,76343.0,111659.0,158024.9,76306.2,90.0,Pipe697
111659.0,158024.9,76306.2,111223.8,158460.0,76289.1,90.0,Pipe698
111223.8,158460.0,76289.1,111218.7,165808.2,76065.0,90.0,Pipe699
111218.7,165808.2,76065.0,111218.4,167124.5,74378.0,90.0,Pipe700
109411.5,166512.7,76440.0,109935.1,165811.8,76301.3,90.0,Pipe701
113122.0,165737.2,76440.0,112887.0,165808.5,76397.4,90.0,Pipe702
