SX,SY,SZ,EX,EY,EZ,Dia,Name
147430.8,176931.8,74326.9,138670.5,176877.5,74209.0,163.6,Pipe1302 (1)
147430.8,176931.8,74326.9,147433.7,177685.3,75248.8,90.0,Pipe1434
153066.7,242945.5,74378.9,141458.3,242917.7,74320.9,163.6,Pipe1308 (1)
141458.5,211552.8,75560.0,141458.3,241808.3,75257.2,90.0,Pipe1439
138670.5,176877.5,74209.0,135738.3,172798.0,74045.9,163.6,Pipe1302 (1) (1) (1)
138670.5,176877.5,74209.0,130507.6,176440.5,75251.8,90.0,Pipe1441
141458.3,242917.7,74320.9,131219.1,242941.4,74244.8,163.6,Pipe1308 (1) (1) (1)
130125.3,211551.9,75560.0,130384.1,240945.4,75261.1,90.0,Pipe1444
73558.6,176464.8,74221.0,62812.9,176502.9,73988.1,163.6,Pipe1305 (1)
74084.3,243640.2,74090.8,60735.4,243606.0,73972.8,163.6,Pipe1311 (1)
110683.7,176464.9,74538.9,98483.7,176464.9,74478.0,163.6,Pipe1304 (1) (1) (1)
110683.7,176464.9,74538.9,110683.7,177681.2,75251.1,90.0,Pipe1453
110158.5,211552.7,75560.0,110105.4,241906.5,75256.2,90.0,Pipe1454
110103.3,243077.5,74223.0,100395.5,243162.9,74149.7,163.6,Pipe1310 (1) (1) (1)
98483.7,176464.9,74478.0,83800.5,176464.8,74404.7,163.6,Pipe1304 (1) (1) (1) (1) (1)
98483.7,176464.9,74478.0,98483.7,177672.9,75251.1,90.0,Pipe1462
99259.7,221077.6,75560.0,99274.7,241709.3,75353.8,90.0,Pipe1463
99578.1,243762.4,74108.8,100418.5,246594.0,73945.9,163.6,Pipe1310 (1) (1) (1) (1) (1)
83800.5,176464.8,74404.7,85908.1,178220.4,75260.2,90.0,Pipe1469
85908.1,178220.4,75260.2,85881.8,208552.5,75560.0,90.0,Pipe1471
85642.9,211552.5,75560.0,85643.9,242204.3,75253.2,90.0,Pipe1472
83800.5,176464.8,74404.7,73558.6,176464.8,74221.0,163.6,Pipe1305 (2)
85643.9,243640.2,74148.9,74084.3,243640.2,74090.8,163.6,Pipe1311 (2)
73558.6,176464.8,74221.0,73558.6,177562.2,75250.0,90.0,Pipe1480
74083.2,211552.5,75560.0,74084.2,241960.8,75256.0,90.0,Pipe1481
98099.8,171700.8,73989.0,99287.4,169705.7,75101.9,90.0,Pipe1483
165676.9,171771.7,74212.0,167190.2,169605.9,75100.9,90.0,Pipe1484
233449.5,157234.5,75408.1,225161.6,157239.5,75325.0,90.0,Pipe1486
