Name,Description,X,Y,Z_Rim,Z_Sump,Z_Invert,Depth,Diameter,Material,Connected_Pipes
SWMH09,Concentric Cylindrical Structure SI,11330.7,169374.0,75987.0,74129.7,74157.0,1830,900.,Plastic,Pipe1254 (Stormwater) (out); Pipe1255 (Stormwater) (in)
SWMH18,Concentric Cylindrical Structure SI,-23390.2,274546.4,75966.9,71170.7,71470.7,4496,900.,Plastic,CO-50.008 (Stormwater) (out); CO-50.007 (Stormwater) (in)
SWMH23,Concentric Cylindrical Structure SI,-219650.3,273279.8,75934.2,72559.6,72859.6,3075,900.,Plastic,Pipe1242 (Stormwater) (out); Pipe1248 (Stormwater) (in)
SWMH25,Concentric Cylindrical Structure SI,-195003.5,264425.2,75929.3,72358.7,72658.7,3271,900.,Plastic,Pipe1246 (Stormwater) (in); Pipe1247 (Stormwater) (out)
SWMH22,Concentric Cylindrical Structure SI,-186319.6,274606.8,75924.8,72024.0,72324.0,3601,900.,Plastic,CO-55.003 (Stormwater) (in); CO-55.004 (Stormwater) (out); CO-56.005 (Stormwater) (in); Pipe1247 (Stormwater) (in)
SWMH05,Concentric Cylindrical Structure SI,27284.1,139758.9,75923.1,72302.0,72602.0,3321,900.,Plastic,CO-50.003 (Stormwater) (in); CO-50.004 (Stormwater) (out)
SWMH44,Concentric Cylindrical Structure SI,168512.2,303011.6,75849.0,71608.0,71908.0,3941,900.,Plastic,CO-3.002 (Stormwater) (in); CO-1.004 (Stormwater) (in); CO-1.005 (Stormwater) (out)
SWMH52,Concentric Cylindrical Structure SI,163298.0,334226.5,75814.7,73142.0,73442.0,2373,900.,Plastic,CO-3.002 (Stormwater) (out); CO-3.001 (Stormwater) (in)
SWMH26,Concentric Cylindrical Structure SI,-176998.3,267352.0,75757.3,71904.0,72204.0,3553,900.,Plastic,CO-55.005 (Stormwater) (out); CO-55.004 (Stormwater) (in)
SWMH54,Concentric Cylindrical Structure SI,155018.8,350693.3,75756.3,69259.5,69559.5,6197,900.,Plastic,CO-1.011 (Stormwater) (out); CO-1.010 (Stormwater) (in)
SWMH61,Concentric Cylindrical Structure SI,-292551.9,380848.3,75752.1,72328.6,72628.6,3123,900.,Plastic,CO-34.005 (1) (Stormwater) (out); CO-35.000 (1) (Stormwater) (in)
SWMH21,Concentric Cylindrical Structure SI,-239694.8,316148.3,75628.6,72544.0,72844.0,2785,900.,Plastic,CO-55.002 (Stormwater) (in); CO-55.003 (Stormwater) (out)
SWMH63,Concentric Cylindrical Structure SI,-249683.3,328514.5,75579.9,72144.0,72444.0,3136,900.,Plastic,CO-34.010 (Stormwater) (out); CO-34.009 (Stormwater) (in)
SWMH62,Concentric Cylindrical Structure SI,-270656.3,348802.0,75393.3,72263.6,72563.6,2830,900.,Plastic,CO-34.006 (Stormwater) (out); CO-34.005 (1) (Stormwater) (in)
SWMH60,Concentric Cylindrical Structure SI,-337770.9,447005.1,75189.0,72462.6,72762.6,2426,900.,Plastic,CO-35.000 (1) (Stormwater) (out)
SWMH27,Concentric Cylindrical Structure SI,-141623.8,239820.3,75028.4,70314.0,70614.0,4414,900.,Plastic,CO-55.005 (Stormwater) (in); CO-54.004 (Stormwater) (out); CO-54.003 (Stormwater) (in)
SWMH20,Concentric Cylindrical Structure SI,-138384.5,237297.1,74927.1,70053.6,70353.6,4573,900.,Plastic,CO-54.004 (Stormwater) (in); Pipe944 (Stormwater) (in); Pipe945 (Stormwater) (in); Pipe1265 (Stormwater) (in)
SWMH55,Concentric Cylindrical Structure SI,163276.8,361465.5,74100.0,67656.5,67956.5,6143,900.,Plastic,CO-1.011 (Stormwater) (in); CO-1.012 (Stormwater) (out)
SWMH19,Concentric Cylindrical Structure SI,-78318.3,238343.0,74077.7,69836.7,70136.7,3941,900.,Plastic,CO-50.008 (Stormwater) (in); CO-50.009 (Stormwater) (out)
SWMH83,Concentric Cylindrical Structure SI,-290642.3,337461.8,73879.8,70294.4,70294.4,3585,900.,Plastic,CO-11.013 (Stormwater) (in); CO-11.014 (Stormwater) (out)
SWMH84,Concentric Cylindrical Structure SI,-336772.3,405521.9,72857.8,68630.5,68630.5,4227,900.,Plastic,CO-11.014 (Stormwater) (in); CO-11.015 (Stormwater) (out)
SWMH85,Concentric Cylindrical Structure SI,-365901.4,451040.7,72687.9,67522.5,67522.5,5165,900.,Plastic,CO-11.015 (Stormwater) (in); CO-11.016 (Stormwater) (out)
SWMH28,Concentric Cylindrical Structure SI,-85955.2,196125.9,72225.6,69754.7,70054.7,2171,900.,Plastic,CO-50.014 (Stormwater) (out); CO-50.013 (1) (Stormwater) (in)
SWMH73,Concentric Cylindrical Structure SI,-82546.0,193409.3,72008.6,69749.3,70049.3,1959,900.,Plastic,Pipe928 (Stormwater) (out)
SWMH56,Concentric Cylindrical Structure SI,168190.9,368159.1,71595.3,66131.5,66431.5,5164,900.,Plastic,CO-1.012 (Stormwater) (in); CO-1.013 (Stormwater) (out)
SWMH76,Concentric Cylindrical Structure SI,-68289.5,183945.4,71129.3,68099.0,68099.0,3030,900.,Plastic,CO-19.013 (1) (Stormwater) (in); CO-19.014 (Stormwater) (out)
SWMH74,Concentric Cylindrical Structure SI,-65293.1,179902.3,70913.7,68694.0,68994.0,1920,900.,Plastic,CO-70.000 (Stormwater) (out); Pipe928 (Stormwater) (in)
SWMH77,Concentric Cylindrical Structure SI,-65507.3,173200.8,70841.6,66525.5,66525.5,4316,900.,Plastic,CO-19.014 (Stormwater) (in); CO-19.015 (Stormwater) (out)
SWMH86,Concentric Cylindrical Structure SI,-376933.4,444236.2,70500.0,65964.5,65964.5,4535,900.,Plastic,CO-11.016 (Stormwater) (in); CO-11.017 (Stormwater) (out)
SWMH57,Concentric Cylindrical Structure SI,170752.1,371658.1,70285.3,64602.5,64902.5,5383,900.,Plastic,CO-1.014 (Stormwater) (out); CO-1.013 (Stormwater) (in)
SWMH87,Concentric Cylindrical Structure SI,-384504.7,439545.8,69500.0,65904.5,65904.5,3596,900.,Plastic,CO-11.017 (Stormwater) (in); CO-11.018 (Stormwater) (out)
SWMH78,Concentric Cylindrical Structure SI,-63051.6,163258.8,69163.0,64967.5,64967.5,4195,900.,Plastic,CO-19.016 (Stormwater) (out); CO-19.015 (Stormwater) (in)
SWMH58,Concentric Cylindrical Structure SI,175085.6,377440.1,68095.5,63054.5,63354.5,4741,900.,Plastic,CO-1.014 (Stormwater) (in); CO-1.015 (Stormwater) (out)
SWMH75,Concentric Cylindrical Structure SI,-19217.8,142855.3,67956.6,65639.2,65939.2,2017,900.,Plastic,CO-70.000 (Stormwater) (in); CO-70.001 (Stormwater) (out)
SWMH79,Concentric Cylindrical Structure SI,-61644.3,157505.8,67347.2,63417.5,63417.5,3930,900.,Plastic,CO-19.016 (Stormwater) (in); CO-19.017 (Stormwater) (out)
SWMH80,Concentric Cylindrical Structure SI,-59240.6,147700.9,66000.0,61816.5,61816.5,4184,900.,Plastic,CO-19.017 (Stormwater) (in); CO-19.018 (Stormwater) (out)
SWMH81,Concentric Cylindrical Structure SI,-58122.3,143060.9,66000.0,60268.5,60268.5,5731,900.,Plastic,CO-19.018 (Stormwater) (in); CO-19.019 (Stormwater) (out)
SWMH59,Concentric Cylindrical Structure SI,182048.5,385973.8,65000.0,61500.5,61800.5,3200,900.,Plastic,CO-1.015 (Stormwater) (in); CO-1.016 (Stormwater) (out)
